arts,percentage
"Create pottery, ceramics, or jewelry ",4.4
"Create leatherwork, metalwork, or woodwork ",9.0
"Do weaving, crocheting, quilting, needlepoint, knitting, or sewing ",11.7
Create films or videos as an artistic activity ,4.0
Take photographs as an artistic activity ,13.3
"Create other visual art (such as paintings, sculpture, graphic designs, digital art) ",10.7
Attend art museum or gallery,17.7
Attend crafts fair or a visual arts festival,17.1
Learn photography or filmmaking ,7.4
"Learn creative coding, computer animation, or digital art ",4.8
Learn other visual arts ,7.1